id,slug,name,city,district,query,oldLatitude,oldLongitude,oldCoordinateSource,newLatitude,newLongitude,newCoordinateSource,formattedAddress,resultType,confidence,status,errorCode,errorMessage
5474eb68-85c9-409c-bb44-0281463f19bd,il-tunceli,Tunceli,Tunceli,,"Tunceli, Türkiye",,,,39.10617,39.548259,Google Maps (otomatik),"Tunceli, Tunceli Merkez/Tunceli, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
8577ccf2-e3f2-4299-8188-6ef0ea54811c,tuzla,Tuzla,İstanbul,Tuzla,"Tuzla, İstanbul, Türkiye",,,,40.8982305,29.3598782,Google Maps (otomatik),"Tuzla/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
75c0ec1e-2c4e-4f9e-81c3-167c4838b7ce,il-usak,Uşak,Uşak,,"Uşak, Türkiye",,,,38.6742286,29.4058825,Google Maps (otomatik),"Uşak, Uşak Merkez/Uşak, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
65e5720d-5aab-44a2-940f-5e45f1acd5b0,il-van,Van,Van,,"Van, Türkiye",,,,38.5012085,43.3729793,Google Maps (otomatik),"Van, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
3fc970e8-053e-40b1-898b-3deb8d52543a,il-yalova,Yalova,Yalova,,"Yalova, Türkiye",,,,40.654895,29.284186,Google Maps (otomatik),"Yalova, Yalova Merkez/Yalova, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
c2645a57-db7a-4051-a094-2c59bbbc0ae0,il-yozgat,Yozgat,Yozgat,,"Yozgat, Türkiye",,,,39.821049,34.808573,Google Maps (otomatik),"Yozgat, Yozgat Merkez/Yozgat, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
0dff4fe3-5a25-49a7-bbba-9c03713cb530,zeytinburnu,Zeytinburnu,İstanbul,Zeytinburnu,"Zeytinburnu, İstanbul, Türkiye",,,,40.990635,28.89614,Google Maps (otomatik),"Zeytinburnu, Sümer, 34025 Zeytinburnu/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
f8e1ee82-6a4a-4665-8d69-fdd2a2912aa6,il-zonguldak,Zonguldak,Zonguldak,,"Zonguldak, Türkiye",,,,41.45352099999999,31.78938,Google Maps (otomatik),"Zonguldak, Zonguldak Merkez/Zonguldak, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
fe52006e-36c4-420f-91a4-92dd89001e97,il-canakkale,Çanakkale,Çanakkale,,"Çanakkale, Türkiye",,,,40.14671999999999,26.408587,Google Maps (otomatik),"Çanakkale, Çanakkale Merkez/Çanakkale, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
c4c9ce0f-5b81-448e-a0dd-27aa4f39a8ba,il-cankiri,Çankırı,Çankırı,,"Çankırı, Türkiye",,,,40.600207,33.616223,Google Maps (otomatik),"Çankırı, Çankırı Merkez/Çankırı, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
f2e5d61b-f388-49f9-9926-ba933ada96ab,catalca,Çatalca,İstanbul,Çatalca,"Çatalca, İstanbul, Türkiye",,,,41.142259,28.457469,Google Maps (otomatik),"Çatalca, İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
f82fdf9e-73c6-46a1-aa61-b7647076fb74,cekmekoy,Çekmeköy,İstanbul,Çekmeköy,"Çekmeköy, İstanbul, Türkiye",,,,41.104235,29.3177272,Google Maps (otomatik),"Çekmeköy/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
2e8fd9dd-aa5e-46b6-bf46-f0bd123c9a83,il-corum,Çorum,Çorum,,"Çorum, Türkiye",,,,40.54992560000001,34.9537242,Google Maps (otomatik),"Çorum, Çorum Merkez/Çorum, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
fcaf9d3a-3b72-40ef-b830-efdfc9e082c1,umraniye,Ümraniye,İstanbul,Ümraniye,"Ümraniye, İstanbul, Türkiye",,,,41.0182327,29.1274334,Google Maps (otomatik),"Ümraniye/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
0862c5e5-68be-4648-9e6d-b4c715edd54e,uskudar,Üsküdar,İstanbul,Üsküdar,"Üsküdar, İstanbul, Türkiye",,,,41.0189417,29.0576298,Google Maps (otomatik),"Üsküdar/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
a3574c8a-abca-4858-81ec-482f83a71efb,il-istanbul,İstanbul,İstanbul,,"İstanbul, Türkiye",,,,41.0082376,28.9783589,Google Maps (otomatik),"İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
ec3d9952-340f-4f2d-b185-50800ae9f5d8,ist-havalimani,İstanbul Havalimanı (IST),İstanbul,,"İstanbul Havalimanı (IST), İstanbul, Türkiye",,,,41.2761476,28.7287349,Google Maps (otomatik),"Istanbul Arpt (IST), Tayakadın, Terminal Caddesi No:1, 34283 Arnavutköy/İstanbul, Türkiye",ROOFTOP,HIGH,UPDATED,,
9bc1cebf-548e-4acb-bb08-078606bb8737,istiklal-caddesi,İstiklal Caddesi,İstanbul,Beyoğlu,"İstiklal Caddesi, Beyoğlu, İstanbul, Türkiye",,,,41.0337874,28.9779527,Google Maps (otomatik),"İstiklal Cd., Beyoğlu/İstanbul, Türkiye",GEOMETRIC_CENTER,LOWER_PRECISION,UPDATED,,
1a271c67-953a-434f-aaf6-e0007bfb0f4c,il-izmir,İzmir,İzmir,,"İzmir, Türkiye",,,,38.423734,27.142826,Google Maps (otomatik),"İzmir, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
dccc8d07-c4ba-42bd-a598-079d2f35d0ae,il-sanliurfa,Şanlıurfa,Şanlıurfa,,"Şanlıurfa, Türkiye",,,,37.1674039,38.7955149,Google Maps (otomatik),"Şanlıurfa, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
63984f00-c8c6-4a19-86c3-fd43f4d18a0f,sile,Şile,İstanbul,Şile,"Şile, İstanbul, Türkiye",,,,41.174903,29.609588,Google Maps (otomatik),"Şile, İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
c35cdf15-ec6c-4338-b9d4-de33a3d6f684,sisli,Şişli,İstanbul,Şişli,"Şişli, İstanbul, Türkiye",,,,41.0536216,28.9819731,Google Maps (otomatik),"Şişli/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
373594ad-61e6-49a2-8524-c95ed38fb7c7,il-sirnak,Şırnak,Şırnak,,"Şırnak, Türkiye",,,,37.518974,42.453714,Google Maps (otomatik),"Şırnak, Şırnak Merkez/Şırnak, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
